epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.195,1.26474,1.04239,0.97695,0.87256,0.80425,0.83557,0.5246,1.11609,0.66684,0.91684,0.0670206,0.000333125,0.000333125
2,939.195,1.14019,0.72096,0.94703,0.89624,0.8487,0.85011,0.52877,1.15649,0.62923,0.92488,0.0340162,0.00066206,0.00066206
3,1384.99,1.08496,0.65666,0.93144,0.89447,0.84828,0.85606,0.54592,1.07517,0.59366,0.91239,0.00100739,0.000986595,0.000986595
4,1832.28,1.06697,0.63416,0.92825,0.89426,0.85622,0.85816,0.57521,0.97118,0.55958,0.89596,0.0009802,0.0009802,0.0009802
5,2273.18,1.02002,0.61006,0.92049,0.89079,0.85057,0.85712,0.57686,0.97666,0.5534,0.89887,0.0009736,0.0009736,0.0009736
6,2719.58,0.99249,0.58714,0.91204,0.87787,0.85391,0.86399,0.58129,1.00193,0.53125,0.90311,0.000967,0.000967,0.000967
7,3161.32,0.97434,0.5714,0.9105,0.88712,0.867,0.87409,0.5912,0.95289,0.5333,0.88998,0.0009604,0.0009604,0.0009604
8,3606.38,0.97616,0.56545,0.90532,0.90523,0.87223,0.8814,0.59031,0.99117,0.52499,0.89405,0.0009538,0.0009538,0.0009538
9,4047,0.94744,0.55818,0.90513,0.90954,0.87787,0.87925,0.59095,0.93654,0.50788,0.89131,0.0009472,0.0009472,0.0009472
10,4488.53,0.93339,0.55006,0.90107,0.8771,0.87167,0.87143,0.59977,0.92768,0.51625,0.88678,0.0009406,0.0009406,0.0009406
11,4931,0.92886,0.54693,0.89871,0.88497,0.86591,0.87256,0.59918,0.95868,0.51064,0.89359,0.000934,0.000934,0.000934
12,5376.34,0.92243,0.53831,0.89802,0.90272,0.86083,0.8775,0.59845,0.93313,0.50683,0.88858,0.0009274,0.0009274,0.0009274
13,5817.92,0.9225,0.53596,0.89886,0.87201,0.85856,0.86576,0.60477,0.92034,0.4981,0.88705,0.0009208,0.0009208,0.0009208
14,6259,0.89977,0.52379,0.89122,0.88046,0.85915,0.86437,0.59017,0.95517,0.50127,0.89361,0.0009142,0.0009142,0.0009142
15,6699.45,0.8993,0.52261,0.8898,0.86592,0.85769,0.84892,0.59962,0.91476,0.49203,0.88139,0.0009076,0.0009076,0.0009076
16,7139.98,0.88687,0.51601,0.88835,0.87644,0.87795,0.87272,0.60283,0.91882,0.49342,0.88475,0.000901,0.000901,0.000901
17,7579.3,0.88197,0.5096,0.88808,0.90217,0.87286,0.87803,0.60895,0.91168,0.48116,0.88215,0.0008944,0.0008944,0.0008944
18,8017.59,0.88218,0.50806,0.8875,0.89575,0.86978,0.87811,0.60658,0.92593,0.48024,0.88536,0.0008878,0.0008878,0.0008878
19,8463.22,0.87974,0.50581,0.88708,0.88037,0.87889,0.88047,0.6067,0.92034,0.4875,0.88207,0.0008812,0.0008812,0.0008812
20,8910.05,0.88405,0.50316,0.88812,0.88646,0.88283,0.87808,0.60522,0.92133,0.48228,0.88658,0.0008746,0.0008746,0.0008746
21,9350.93,0.87481,0.50014,0.88489,0.87801,0.85531,0.87155,0.60121,0.91379,0.47612,0.88326,0.000868,0.000868,0.000868
22,9791.58,0.86665,0.49448,0.88107,0.91093,0.87096,0.88139,0.60904,0.93008,0.47904,0.88642,0.0008614,0.0008614,0.0008614
23,10232.7,0.8724,0.49622,0.88317,0.89465,0.87781,0.87434,0.61657,0.90114,0.47204,0.88165,0.0008548,0.0008548,0.0008548
24,10674.6,0.86111,0.48818,0.88109,0.89629,0.88327,0.88471,0.61824,0.90401,0.46771,0.88035,0.0008482,0.0008482,0.0008482
25,11112.8,0.8568,0.49393,0.88286,0.89835,0.8711,0.87137,0.59321,0.94456,0.48736,0.88774,0.0008416,0.0008416,0.0008416
26,11553.6,0.85287,0.48487,0.88004,0.89508,0.88402,0.88251,0.61441,0.90138,0.46865,0.88159,0.000835,0.000835,0.000835
27,11991.7,0.85326,0.48852,0.87932,0.89168,0.87816,0.87162,0.59585,0.93871,0.47502,0.88806,0.0008284,0.0008284,0.0008284
28,12433.8,0.85446,0.48841,0.87815,0.9033,0.88093,0.87986,0.61434,0.90326,0.4666,0.88175,0.0008218,0.0008218,0.0008218
29,12874.3,0.86366,0.48732,0.88212,0.90352,0.87914,0.88143,0.61401,0.92402,0.47294,0.88257,0.0008152,0.0008152,0.0008152
30,13317.7,0.84455,0.47725,0.87779,0.90586,0.88232,0.88315,0.62135,0.88734,0.456,0.87695,0.0008086,0.0008086,0.0008086
31,13760.2,0.8412,0.47636,0.87824,0.89407,0.87143,0.87626,0.60788,0.90641,0.46694,0.88069,0.000802,0.000802,0.000802
32,14199.3,0.84175,0.48087,0.88042,0.88125,0.88137,0.8801,0.61306,0.88885,0.46343,0.87909,0.0007954,0.0007954,0.0007954
33,14649.3,0.84481,0.47805,0.87986,0.9017,0.87855,0.88619,0.61873,0.89593,0.45826,0.87949,0.0007888,0.0007888,0.0007888
34,15092.1,0.83797,0.47622,0.87692,0.899,0.88588,0.88611,0.61737,0.8849,0.46084,0.87944,0.0007822,0.0007822,0.0007822
35,15532.6,0.82944,0.46623,0.87557,0.90446,0.87731,0.88257,0.62372,0.87408,0.44956,0.87555,0.0007756,0.0007756,0.0007756
36,15972.7,0.8457,0.47991,0.87741,0.91192,0.87147,0.88162,0.62525,0.87745,0.45154,0.87699,0.000769,0.000769,0.000769
37,16411.4,0.82533,0.46712,0.87462,0.9019,0.86927,0.87836,0.60918,0.89357,0.45505,0.8808,0.0007624,0.0007624,0.0007624
38,16849.5,0.83167,0.47117,0.87521,0.91406,0.87187,0.88709,0.62563,0.88511,0.45106,0.87779,0.0007558,0.0007558,0.0007558
39,17287.8,0.82362,0.46562,0.87323,0.88924,0.887,0.88469,0.62382,0.88067,0.45136,0.877,0.0007492,0.0007492,0.0007492
40,17726.5,0.82839,0.46726,0.87345,0.89228,0.88783,0.88134,0.61614,0.88209,0.44416,0.87815,0.0007426,0.0007426,0.0007426
41,18165.6,0.82567,0.45943,0.87695,0.91282,0.88144,0.88514,0.62012,0.8817,0.44455,0.87735,0.000736,0.000736,0.000736
42,18605.3,0.83094,0.4641,0.87613,0.91215,0.87621,0.88455,0.62273,0.88167,0.44579,0.87849,0.0007294,0.0007294,0.0007294
43,19044.1,0.81431,0.46041,0.87214,0.90526,0.88372,0.88558,0.62197,0.88744,0.447,0.88061,0.0007228,0.0007228,0.0007228
44,19481.9,0.82626,0.46531,0.87522,0.88009,0.88586,0.87812,0.61087,0.90242,0.45319,0.88076,0.0007162,0.0007162,0.0007162
45,19922.1,0.81631,0.46021,0.8739,0.90284,0.87276,0.8838,0.62041,0.89428,0.44747,0.88044,0.0007096,0.0007096,0.0007096
46,20359,0.81815,0.45884,0.87302,0.8821,0.88656,0.88665,0.62052,0.88618,0.44805,0.87727,0.000703,0.000703,0.000703
47,20796.8,0.81081,0.4561,0.87142,0.8876,0.88573,0.87869,0.61918,0.89024,0.4435,0.8812,0.0006964,0.0006964,0.0006964
48,21235,0.81162,0.45418,0.87079,0.91142,0.88874,0.88854,0.62169,0.88247,0.44118,0.87897,0.0006898,0.0006898,0.0006898
49,21674.3,0.81558,0.45874,0.87034,0.89996,0.88128,0.8921,0.62325,0.8862,0.44237,0.87907,0.0006832,0.0006832,0.0006832
50,22111.1,0.80316,0.45008,0.8707,0.90505,0.89166,0.88702,0.61684,0.89509,0.44615,0.8816,0.0006766,0.0006766,0.0006766
51,22550.9,0.81062,0.4544,0.87125,0.87084,0.88768,0.88063,0.62288,0.87233,0.43942,0.8755,0.00067,0.00067,0.00067
52,22989.8,0.80888,0.45287,0.87088,0.90514,0.88811,0.88712,0.62027,0.88046,0.44353,0.87858,0.0006634,0.0006634,0.0006634
53,23428.1,0.80326,0.44982,0.869,0.9075,0.88582,0.88845,0.62252,0.87602,0.43912,0.87665,0.0006568,0.0006568,0.0006568
